Consent,GBeliefs_1,GBeliefs_2,GBeliefs_3,Global_1,Global_2,Global_3,Global_4,Global_5,Gutt1,Gutt2,Gutt3,Gutt4,Gutt5,Attain_1,Attain_10,Attain_11,Attain_12,Attain_13,Attain_2,Attain_3,Attain_4,Attain_5,Attain_6,Attain_7,Attain_8,Attain_9,CostX_1,CostX_2,CostX_3,CostX_4,CostX_5,CostX_6,CostX_7,CostX_8,CostX_9,CostX_10,CostX_11,CostX_12,CostX_13,DifficultyX_1,DifficultyX_2,DifficultyX_3,DifficultyX_4,DifficultyX_5,DifficultyX_6,DifficultyX_7,DifficultyX_8,DifficultyX_9,GoalX_1,GoalX_2,GoalX_3,GoalX_4,GoalX_5,GoalX_6,GoalX_7,GoalX_8,GoalX_9,GoalX_10,GoalX_11,GoalX_12,GoalX_13,Expectancy_1,Expectancy_2,Expectancy_3,Expectancy_4,Expectancy_5,Expectancy_6,IntEnj_1,IntEnj_2,IntEnj_3,IntEnj_4,IntEnj_5,IntEnj_6,IntEnj_7,IntEnj_8,IntEnj_9,Utility_1,Utility_10,Utility_11,Utility_2,Utility_3,Utility_4,Utility_5,Utility_6,Utility_7,Utility_8,Utility_9,AcadSCX_1,AcadSCX_2,AcadSCX_3,AcadSCX_4,AcadSCX_5,AcadSCX_6,AcadSCX_7,AcadSCX_8,AcadSCX_9,AcadSCX_10,AcadSCX_11,AcadSCX_12,AcadSCX_13,AcadSCX_14,Gender,Gender_TEXT,Age,Hispanic_Latino_Spanish,Race_Origin,Race_Origin_TEXT,Language,Language_TEXT,Student,Student_TEXT,Taking_Class,Taking_Class_TEXT,STAT_Successful?,Successful_Where,No?,No?_TEXT,First_Gen?,Grade_Course,College_GPA?,College_GPA,College_GPA_Max,HS_GPA,HS_GPA_Max,Major1_1,Major1.1,Major2_1,Major2.1,Minor1_1,Minor1.1,Minor2_1,Minor2.1,RandomID
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Poorly,Below Average,Grater Than Average,Some Confidence,Fairly Unlikely,Employers expect that I know statistics.,Most people in my desired career field use statistics.,I want to use statistics to help me make informed choices.,I am beginning to see why I should study statistics.,I will use statistics almost daily in my future.,7,5,7,7,7,6,5,1,7,6,6,2,6,5,2,7,5,6,6,5,7,5,6,5,3,7,7,2,5,6,6,7,7,7,6,6,7,2,6,6,6,6,3,3,1,1,2,2,5,5,5,6,1,6,3,6,6,5,5,3,5,7,6,5,6,7,6,6,6,5,7,6,7,7,5,5,2,5,3,7,6,3,6,5,5,5,6,5,Woman,,23,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Fifth or more years in college,,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,C,Yes,2.9,4,,,Psychology,,,,"Communication, Journalism, and Related Programs",,Other (Please Specify),Neuroscience,521707587a
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Neither Agree Nor Disagree,Disagree,Average,Poor,Great Deal,Fairly Confident,Fairly Likely,Employers expect that I know statistics.,Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,It is absolutely clear to me why studying statistics is useful.,I will use statistics almost daily in my future.,7,7,6,6,5,3,2,3,5,5,5,6,7,4,2,6,6,6,5,1,6,6,5,4,6,3,6,3,5,4,5,7,4,6,5,4,1,3,7,4,3,3,2,4,2,1,2,3,5,4,6,4,6,7,5,5,5,6,5,6,6,6,5,5,5,7,6,7,6,7,7,7,5,6,5,5,7,3,7,6,7,3,6,5,6,6,6,5,Woman,,25,"No, I am not of Hispanic, Latino, or Spanish origin.","Asian: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Hmong, Laotian, Thai, Pakistani, Cambodian, etc.",,"English,Other language(s):","Hindi, Malayalam",Graduate student,,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,B,Yes,3.7,4,,,Health Professions and Related Programs,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,3e9fe3160c
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Somewhat Agree,Neither Agree Nor Disagree,Above Average,Good,Very Little,Fairly Confident,Not At All Likely,Employers care a little bit if I know statistics.,Only some people in my desired career field use statistics.,I might want to use statistics to help me make informed choices.,I sometimes see why studying statistics can be useful.,I will rarely use statistics in the future.,5,6,4,4,4,5,5,3,6,5,5,5,3,2,2,4,3,3,4,3,3,4,3,3,3,7,6,6,6,6,5,6,6,7,6,4,3,2,4,5,4,5,5,4,5,5,5,4,5,5,5,6,4,5,2,3,3,4,2,2,3,3,3,5,4,3,3,3,6,3,4,5,3,5,4,3,3,3,2,3,5,4,3,3,3,3,4,2,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Senior (Fourth Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,C,Yes,3,4,,,"Homeland Security, Criminal Justice, and Related Fields",,Psychology,,,,,,13221ec09d
Yes: I agree to participate AND am 18 years or older,Strongly Agree,Disagree,Strongly Disagree,Average,Average,Very Little,Very Little Confidence,Not At All Likely,"Employers would like it if I knew statistics, but it is not required.",Almost everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I see no reason to study statistics.,I will often use statistics in the future.,6,7,4,4,4,3,5,1,4,4,4,7,1,2,1,1,1,2,4,1,1,3,3,1,2,2,7,7,7,7,7,7,7,7,7,2,1,1,3,4,2,5,4,4,5,6,6,4,3,5,5,6,3,5,1,2,1,2,1,1,2,1,1,2,3,2,5,6,1,2,6,5,5,5,1,5,7,5,3,6,4,4,5,6,5,3,6,3,Woman,,21,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Senior (Fourth Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,C,Yes,3.4,4,,,Social Work and Human Services,,Psychology,,None - I do not have a minor.,,None - I do not have a minor.,,d26b8c6c32
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Average,Above Average,Average,Fairly Confident,Not At All Likely,"Employers would like it if I knew statistics, but it is not required.",Most people in my desired career field use statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will occasionally use statistics in the future.,7,7,4,7,7,4,7,1,7,7,7,7,5,1,1,4,4,1,4,4,4,4,1,2,4,5,7,7,7,4,7,7,7,7,7,7,7,4,4,6,7,5,5,7,7,7,7,7,7,5,4,7,7,7,1,4,1,7,4,3,4,5,3,5,5,4,5,5,7,3,4,7,5,4,1,4,1,4,1,7,4,4,5,4,3,4,4,1,I prefer to self-identify:,Non binary,22,"Yes, I am of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.,Black or African-American: African American, Haitian, Nigerian, etc.,Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.,American Indian or Alaskan Native: Navajo, Mayan, Tlingit, etc.,Asian: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Hmong, Laotian, Thai, Pakistani, Cambodian, etc.,Native Hawaiian or Pacific Islander: Native Hawaiian, Guamanian, Somoan, Fijian, etc.",,"English,Spanish",,Junior (Third Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,C,Yes,3.8,4,,,Psychology,,Visual and Performing Arts,,Political Science,,"Business Administration, Management",,1e5bdef1cd
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Somewhat Disagree,Disagree,Average,Average,Large Amount,Fairly Confident,Fairly Likely,Employers require that I have excellent knowledge of statistics.,Everyone in my desired career field uses statistics.,I already do use statistics to make informed choices.,I usually understand why studying statistics is useful.,I will often use statistics in the future.,6,4,7,6,6,6,5,4,6,5,7,4,7,5,5,7,5,4,7,5,6,5,4,6,5,5,5,5,4,4,5,7,4,4,5,4,5,1,7,6,7,4,5,7,3,4,6,5,5,5,5,6,4,6,5,6,5,5,5,5,6,5,6,5,6,7,7,6,6,6,6,6,6,6,5,6,6,5,5,5,5,6,5,5,6,5,5,3,Woman,,35,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Fifth or more years in college,,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,A,Yes,3.38,4,,,Liberal Arts and General Studies,,Psychology,,"Communication, Journalism, and Related Programs",,Other (Please Specify),Neuroscience,4e817c2629
Yes: I agree to participate AND am 18 years or older,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Well,Good,Not At All,Very Little Confidence,Not At All Likely,"Employers would like it if I knew statistics, but it is not required.",Only some people in my desired career field use statistics.,I do not see how using statistics will help me make informed choices.,I see no reason to study statistics.,I will never use statistics in the future.,2,6,2,1,2,3,6,1,2,2,2,6,2,2,2,2,2,1,1,2,2,2,2,6,1,2,6,6,6,6,6,6,6,7,7,2,5,2,2,2,1,4,2,2,7,7,7,5,2,2,3,6,2,5,7,4,2,2,2,2,5,5,2,2,2,2,6,2,1,2,1,2,2,3,7,6,6,6,6,6,6,5,6,7,6,6,6,5,Woman,,30,"Yes, I am of Hispanic, Latino, or Spanish origin.","Hispanic, Latino or Spanish origin: Mexican, Mexican American, Puerto Rican, Cuban, Argentinean, Dominican, Salvadoran, Spaniard, etc.",,"English,Spanish",,Part-time student in college,,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,C,Yes,3.87,4,,,Psychology,,None - I do not have a second major.,,"Foreign Languages, Literatures, and Linguistics",,None - I do not have a minor.,,a3502331fb
Yes: I agree to participate AND am 18 years or older,Strongly Disagree,Somewhat Agree,Strongly Disagree,Very Poorly,Poor,Very Little,Some Confidence,Unlikely,Employers care a little bit if I know statistics.,No one in my desired career field uses statistics.,I want to use statistics to help me make informed choices.,I see no reason to study statistics.,I will rarely use statistics in the future.,7,7,5,1,1,2,5,1,6,5,6,7,5,2,1,2,1,1,2,1,1,3,1,2,1,3,7,5,7,7,3,6,7,7,7,6,5,3,5,5,7,2,5,5,7,7,6,6,4,2,5,6,1,5,1,1,1,1,1,2,4,3,1,2,4,3,2,1,5,2,3,5,5,5,1,2,7,5,4,5,2,4,6,5,2,2,7,6,Woman,,23,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Fifth or more years in college,,It is required by my major.,,Yes,1 other college-level statistics course.,,,Yes,C,Yes,2.9,3,,,Psychology,,,,,,,,e13de299bd
Yes: I agree to participate AND am 18 years or older,Somewhat Disagree,Strongly Disagree,Neither Agree Nor Disagree,Very Well,Good,Not At All,Very Little Confidence,Not At All Likely,Employers place no value on me knowing statistics.,No one in my desired career field uses statistics.,I do not see how using statistics will help me make informed choices.,I see no reason to study statistics.,I will never use statistics in the future.,2,2,4,4,4,2,2,4,5,4,1,5,1,4,2,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,6,7,6,7,7,1,1,1,6,1,1,2,1,1,1,1,2,2,1,4,4,4,2,4,2,1,1,1,1,7,1,1,1,1,1,2,1,1,1,1,2,1,1,2,5,6,7,7,3,4,7,4,4,4,4,5,4,4,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","White: German, Irish, Lebanese, Egyptian, etc.",,English,,Junior (Third Year),,It is required by my major.,,Yes,1 other college-level statistics course.,,,No,C,No,,,3.5,4,Psychology,,Social Work and Human Services,,"Communication, Journalism, and Related Programs",,Sociology,,0e34eaf680
Yes: I agree to participate AND am 18 years or older,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Somewhat Disagree,Average,Average,Average,Some Confidence,Average,Employers care a little bit if I know statistics.,No one in my desired career field uses statistics.,I might want to use statistics to help me make informed choices.,I see no reason to study statistics.,I will rarely use statistics in the future.,4,5,4,2,4,4,6,3,4,7,4,5,4,3,3,4,6,2,5,4,4,4,3,3,6,3,4,4,4,4,7,6,5,5,4,5,5,3,4,6,4,4,4,6,4,4,4,4,4,5,4,4,3,5,3,5,2,6,5,2,4,6,3,4,4,3,4,4,5,4,5,5,4,4,4,5,5,6,3,4,5,5,4,2,4,4,3,4,Woman,,20,"No, I am not of Hispanic, Latino, or Spanish origin.","Asian: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Hmong, Laotian, Thai, Pakistani, Cambodian, etc.",,"English,Other language(s):","hindi, gujarati",Junior (Third Year),,"It is required by my major.,It is an elective for my major.",,Yes,1 other college-level statistics course.,,,Yes,A or B (not sure which one),Yes,2.88,4,,,Psychology,,None - I do not have a second major.,,None - I do not have a minor.,,None - I do not have a minor.,,c1fcb0f3a3
